# Gen Frequency (Hz), Gen Level (dBm), SA Level (dBm), Osc Voltage (V), S21 Gen-Sa (dB), S21 Gen-Det (dB), Det Level (dBm)
2.000000000000000000e+09,1.500000000000000000e+01,1.085668849945068359e+01,3.567335999999999840e-01,-3.780900904735452706e+00,-3.848752433365759895e+00,1.092454002808099034e+01
2.000000000000000000e+09,1.400000000000000000e+01,9.918917655944824219e+00,3.055319999999999703e-01,-3.780900904735452706e+00,-3.848752433365759895e+00,9.986769184575130964e+00
2.000000000000000000e+09,1.300000000000000000e+01,8.952975273132324219e+00,2.587896000000001195e-01,-3.780900904735452706e+00,-3.848752433365759895e+00,9.020826801762630964e+00
2.000000000000000000e+09,1.200000000000000000e+01,7.965701103210449219e+00,2.198904000000000969e-01,-3.780900904735452706e+00,-3.848752433365759895e+00,8.033552631840755964e+00
2.000000000000000000e+09,1.100000000000000000e+01,6.976428031921386719e+00,1.859312000000000187e-01,-3.780900904735452706e+00,-3.848752433365759895e+00,7.044279560551693464e+00
2.000000000000000000e+09,1.000000000000000000e+01,5.984362602233886719e+00,1.523347999999999924e-01,-3.780900904735452706e+00,-3.848752433365759895e+00,6.052214130864193464e+00
2.000000000000000000e+09,9.000000000000000000e+00,4.980181694030761719e+00,1.240740000000000454e-01,-3.780900904735452706e+00,-3.848752433365759895e+00,5.048033222661068464e+00
2.000000000000000000e+09,8.000000000000000000e+00,3.983023643493652344e+00,1.007762000000000380e-01,-3.780900904735452706e+00,-3.848752433365759895e+00,4.050875172123959089e+00
2.000000000000000000e+09,7.000000000000000000e+00,2.974299430847167969e+00,7.876539999999999930e-02,-3.780900904735452706e+00,-3.848752433365759895e+00,3.042150959477475158e+00
2.000000000000000000e+09,6.000000000000000000e+00,1.969779014587402344e+00,6.055460000000002785e-02,-3.780900904735452706e+00,-3.848752433365759895e+00,2.037630543217709533e+00
2.000000000000000000e+09,5.000000000000000000e+00,9.694470763206481934e-01,4.553151999999999200e-02,-3.780900904735452706e+00,-3.848752433365759895e+00,1.037298604950955383e+00
2.000000000000000000e+09,4.000000000000000000e+00,-4.086785018444061279e-02,3.232704000000000133e-02,-3.780900904735452706e+00,-3.848752433365759895e+00,2.698367844586657682e-02
2.000000000000000000e+09,3.000000000000000000e+00,-1.045788764953613281e+00,2.205752000000000060e-02,-3.780900904735452706e+00,-3.848752433365759895e+00,-9.779372363233060916e-01
2.000000000000000000e+09,2.000000000000000000e+00,-2.045628547668457031e+00,1.404204000000000216e-02,-3.780900904735452706e+00,-3.848752433365759895e+00,-1.977777019038149842e+00
2.000000000000000000e+09,1.000000000000000000e+00,-3.065785408020019531e+00,8.397980000000001069e-03,-3.780900904735452706e+00,-3.848752433365759895e+00,-2.997933879389712342e+00
2.000000000000000000e+09,0.000000000000000000e+00,-4.071148872375488281e+00,4.513576000000000046e-03,-3.780900904735452706e+00,-3.848752433365759895e+00,-4.003297343745181536e+00
2.000000000000000000e+09,-1.000000000000000000e+00,-5.067242622375488281e+00,2.171151999999999978e-03,-3.780900904735452706e+00,-3.848752433365759895e+00,-4.999391093745181536e+00
