# Gen Frequency (Hz), Gen Level (dBm), SA Level (dBm), Osc Voltage (V)
2.000000000000000000e+09,1.500000000000000000e+01,8.692038536071777344e+00,2.772895249999999812e-01
2.000000000000000000e+09,1.416666666666666785e+01,7.902014255523681641e+00,2.446386906249999882e-01
2.000000000000000000e+09,1.333333333333333570e+01,7.094015598297119141e+00,2.128093812500000126e-01
2.000000000000000000e+09,1.250000000000000000e+01,6.270220279693603516e+00,1.863782171875000004e-01
2.000000000000000000e+09,1.166666666666666785e+01,5.462862491607666016e+00,1.587209265625000310e-01
2.000000000000000000e+09,1.083333333333333570e+01,4.628393650054931641e+00,1.340838750000000190e-01
2.000000000000000000e+09,1.000000000000000000e+01,3.773088932037353516e+00,1.131941046875000051e-01
2.000000000000000000e+09,9.166666666666667851e+00,2.935472965240478516e+00,9.505133046875000047e-02
2.000000000000000000e+09,8.333333333333335702e+00,2.098764896392822266e+00,7.746135234374999790e-02
2.000000000000000000e+09,7.500000000000000000e+00,1.268992066383361816e+00,6.198303515625000482e-02
2.000000000000000000e+09,6.666666666666667851e+00,4.117341935634613037e-01,4.977384156250000413e-02
2.000000000000000000e+09,5.833333333333333925e+00,-4.281820356845855713e-01,3.811187531250000149e-02
2.000000000000000000e+09,5.000000000000000000e+00,-1.274350523948669434e+00,2.820269749999999853e-02
2.000000000000000000e+09,4.166666666666667851e+00,-2.136899471282958984e+00,2.036684031249999874e-02
2.000000000000000000e+09,3.333333333333333925e+00,-2.991885662078857422e+00,1.391444890625000153e-02
2.000000000000000000e+09,2.500000000000000000e+00,-3.839053630828857422e+00,9.207741718750000678e-03
2.000000000000000000e+09,1.666666666666667851e+00,-4.692794322967529297e+00,5.646457656250000214e-03
2.000000000000000000e+09,8.333333333333339255e-01,-5.542495250701904297e+00,3.213110937500000298e-03
2.000000000000000000e+09,0.000000000000000000e+00,-6.379668712615966797e+00,1.731033687500000166e-03
2.000000000000000000e+09,-8.333333333333321491e-01,-7.222602367401123047e+00,8.366722343749999867e-04
2.000000000000000000e+09,-1.666666666666666075e+00,-8.059500694274902344e+00,3.454679375000000666e-04
2.000000000000000000e+09,-2.500000000000000000e+00,-8.904967308044433594e+00,8.064351562500000664e-05
