# Gen Frequency (Hz), Gen Level (dBm), SA Level (dBm), Osc Voltage (V)
2.000000000000000000e+09,1.000000000000000000e+01,1.000000000000000000e+00,1.432879999999999987e-01
2.000000000000000000e+09,9.500000000000000000e+00,1.000000000000000000e+00,1.425016000000000893e-01
2.000000000000000000e+09,9.000000000000000000e+00,1.000000000000000000e+00,1.294332000000000538e-01
2.000000000000000000e+09,8.500000000000000000e+00,1.000000000000000000e+00,1.186732000000000481e-01
2.000000000000000000e+09,8.000000000000000000e+00,1.000000000000000000e+00,1.068640000000000284e-01
2.000000000000000000e+09,7.500000000000000000e+00,1.000000000000000000e+00,9.596760000000001400e-02
2.000000000000000000e+09,7.000000000000000000e+00,1.000000000000000000e+00,8.796640000000002790e-02
2.000000000000000000e+09,6.500000000000000000e+00,1.000000000000000000e+00,7.834159999999999735e-02
2.000000000000000000e+09,6.000000000000000000e+00,1.000000000000000000e+00,6.958120000000003746e-02
2.000000000000000000e+09,5.500000000000000000e+00,1.000000000000000000e+00,6.184440000000002158e-02
2.000000000000000000e+09,5.000000000000000000e+00,1.000000000000000000e+00,5.442400000000002097e-02
2.000000000000000000e+09,4.500000000000000000e+00,1.000000000000000000e+00,4.732040000000000551e-02
2.000000000000000000e+09,4.000000000000000000e+00,1.000000000000000000e+00,4.191128000000000214e-02
2.000000000000000000e+09,3.500000000000000000e+00,1.000000000000000000e+00,3.601040000000001184e-02
2.000000000000000000e+09,3.000000000000000000e+00,1.000000000000000000e+00,3.054975999999999872e-02
2.000000000000000000e+09,2.500000000000000000e+00,1.000000000000000000e+00,2.565632000000000676e-02
2.000000000000000000e+09,2.000000000000000000e+00,1.000000000000000000e+00,2.145232000000000389e-02
2.000000000000000000e+09,1.500000000000000000e+00,1.000000000000000000e+00,1.744592000000000365e-02
2.000000000000000000e+09,1.000000000000000000e+00,1.000000000000000000e+00,1.416572000000000491e-02
2.000000000000000000e+09,5.000000000000000000e-01,1.000000000000000000e+00,1.132959999999999870e-02
2.000000000000000000e+09,0.000000000000000000e+00,1.000000000000000000e+00,8.794640000000001137e-03
2.000000000000000000e+09,-5.000000000000000000e-01,1.000000000000000000e+00,6.810760000000000772e-03
2.000000000000000000e+09,-1.000000000000000000e+00,1.000000000000000000e+00,5.171439999999999371e-03
2.000000000000000000e+09,-1.500000000000000000e+00,1.000000000000000000e+00,3.769540000000000043e-03
2.000000000000000000e+09,-2.000000000000000000e+00,1.000000000000000000e+00,2.709760000000000293e-03
2.000000000000000000e+09,-2.500000000000000000e+00,1.000000000000000000e+00,1.891440000000000309e-03
2.000000000000000000e+09,-3.000000000000000000e+00,1.000000000000000000e+00,1.250780000000000164e-03
2.000000000000000000e+09,-3.500000000000000000e+00,1.000000000000000000e+00,8.012760000000001799e-04
2.000000000000000000e+09,-4.000000000000000000e+00,1.000000000000000000e+00,4.976720000000000015e-04
2.000000000000000000e+09,-4.500000000000000000e+00,1.000000000000000000e+00,2.711160000000000653e-04
2.000000000000000000e+09,-5.000000000000000000e+00,1.000000000000000000e+00,1.260080000000000445e-04
