# Gen Frequency (Hz), Gen Level (dBm), SA Level (dBm), Osc Voltage (V)
2.000000000000000000e+09,1.500000000000000000e+01,1.000000000000000000e+00,3.234240000000000448e-01
2.000000000000000000e+09,1.379310344827585766e+01,1.000000000000000000e+00,2.826280000000001569e-01
2.000000000000000000e+09,1.258620689655172242e+01,1.000000000000000000e+00,2.362776000000000876e-01
2.000000000000000000e+09,1.137931034482758719e+01,1.000000000000000000e+00,1.922392000000000267e-01
2.000000000000000000e+09,1.017241379310344840e+01,1.000000000000000000e+00,1.578796000000000366e-01
2.000000000000000000e+09,8.965517241379309610e+00,1.000000000000000000e+00,1.256844000000000849e-01
2.000000000000000000e+09,7.758620689655170821e+00,1.000000000000000000e+00,9.860760000000003134e-02
2.000000000000000000e+09,6.551724137931032033e+00,1.000000000000000000e+00,7.683940000000000214e-02
2.000000000000000000e+09,5.344827586206896797e+00,1.000000000000000000e+00,5.732420000000001958e-02
2.000000000000000000e+09,4.137931034482758008e+00,1.000000000000000000e+00,4.060900000000000620e-02
2.000000000000000000e+09,2.931034482758619220e+00,1.000000000000000000e+00,2.813472000000000889e-02
2.000000000000000000e+09,1.724137931034483984e+00,1.000000000000000000e+00,1.784256000000000036e-02
2.000000000000000000e+09,5.172413793103451951e-01,1.000000000000000000e+00,1.047000000000000187e-02
2.000000000000000000e+09,-6.896551724137935935e-01,1.000000000000000000e+00,5.437399999999999352e-03
2.000000000000000000e+09,-1.896551724137932382e+00,1.000000000000000000e+00,2.571240000000000244e-03
2.000000000000000000e+09,-3.103448275862071171e+00,1.000000000000000000e+00,9.146240000000002745e-04
2.000000000000000000e+09,-4.310344827586206407e+00,1.000000000000000000e+00,2.170400000000000226e-04
2.000000000000000000e+09,-5.517241379310345195e+00,1.000000000000000000e+00,-3.986000000000000122e-05
2.000000000000000000e+09,-6.724137931034483984e+00,1.000000000000000000e+00,-1.618120000000000289e-04
2.000000000000000000e+09,-7.931034482758620996e+00,1.000000000000000000e+00,-2.308800000000000121e-04
2.000000000000000000e+09,-9.137931034482758008e+00,1.000000000000000000e+00,-2.562080000000000108e-04
2.000000000000000000e+09,-1.034482758620689680e+01,1.000000000000000000e+00,-2.602000000000000363e-04
2.000000000000000000e+09,-1.155172413793103559e+01,1.000000000000000000e+00,-2.779240000000000855e-04
2.000000000000000000e+09,-1.275862068965517260e+01,1.000000000000000000e+00,-2.823360000000000019e-04
2.000000000000000000e+09,-1.396551724137930961e+01,1.000000000000000000e+00,-2.759840000000000600e-04
2.000000000000000000e+09,-1.517241379310344840e+01,1.000000000000000000e+00,-2.719480000000000465e-04
2.000000000000000000e+09,-1.637931034482758719e+01,1.000000000000000000e+00,-2.735760000000000383e-04
2.000000000000000000e+09,-1.758620689655172242e+01,1.000000000000000000e+00,-2.699520000000000066e-04
2.000000000000000000e+09,-1.879310344827586121e+01,1.000000000000000000e+00,-2.881199999999999994e-04
2.000000000000000000e+09,-2.000000000000000000e+01,1.000000000000000000e+00,-2.893399999999999640e-04
