# Gen Frequency (Hz), Gen Level (dBm), SA Level (dBm), Osc Voltage (V)
2.000000000000000000e+09,1.000000000000000000e+01,1.000000000000000000e+00,1.379679999999999795e-01
2.000000000000000000e+09,8.965517241379313162e+00,1.000000000000000000e+00,1.249460000000000431e-01
2.000000000000000000e+09,7.931034482758622772e+00,1.000000000000000000e+00,1.013184000000000168e-01
2.000000000000000000e+09,6.896551724137932382e+00,1.000000000000000000e+00,8.001759999999999429e-02
2.000000000000000000e+09,5.862068965517241992e+00,1.000000000000000000e+00,6.405500000000001470e-02
2.000000000000000000e+09,4.827586206896555154e+00,1.000000000000000000e+00,4.894700000000001133e-02
2.000000000000000000e+09,3.793103448275864764e+00,1.000000000000000000e+00,3.709127999999999731e-02
2.000000000000000000e+09,2.758620689655174374e+00,1.000000000000000000e+00,2.606119999999999617e-02
2.000000000000000000e+09,1.724137931034483984e+00,1.000000000000000000e+00,1.757448000000000690e-02
2.000000000000000000e+09,6.896551724137935935e-01,1.000000000000000000e+00,1.124815999999999837e-02
2.000000000000000000e+09,-3.448275862068967967e-01,1.000000000000000000e+00,6.476040000000000615e-03
2.000000000000000000e+09,-1.379310344827583634e+00,1.000000000000000000e+00,3.551160000000000254e-03
2.000000000000000000e+09,-2.413793103448274024e+00,1.000000000000000000e+00,1.682688000000000326e-03
2.000000000000000000e+09,-3.448275862068964415e+00,1.000000000000000000e+00,6.507920000000000805e-04
2.000000000000000000e+09,-4.482758620689654805e+00,1.000000000000000000e+00,1.724640000000000211e-04
2.000000000000000000e+09,-5.517241379310343419e+00,1.000000000000000000e+00,-5.134400000000000173e-05
2.000000000000000000e+09,-6.551724137931033809e+00,1.000000000000000000e+00,-1.515600000000000465e-04
2.000000000000000000e+09,-7.586206896551722423e+00,1.000000000000000000e+00,-2.251720000000000728e-04
2.000000000000000000e+09,-8.620689655172412813e+00,1.000000000000000000e+00,-2.556800000000000457e-04
2.000000000000000000e+09,-9.655172413793103203e+00,1.000000000000000000e+00,-2.530640000000000558e-04
2.000000000000000000e+09,-1.068965517241379182e+01,1.000000000000000000e+00,-2.681879999999999876e-04
2.000000000000000000e+09,-1.172413793103448221e+01,1.000000000000000000e+00,-2.614760000000000153e-04
2.000000000000000000e+09,-1.275862068965517082e+01,1.000000000000000000e+00,-2.719040000000000042e-04
2.000000000000000000e+09,-1.379310344827586121e+01,1.000000000000000000e+00,-2.762959999999999852e-04
2.000000000000000000e+09,-1.482758620689655160e+01,1.000000000000000000e+00,-2.622560000000000451e-04
2.000000000000000000e+09,-1.586206896551724199e+01,1.000000000000000000e+00,-2.692559999999999984e-04
2.000000000000000000e+09,-1.689655172413792883e+01,1.000000000000000000e+00,-2.770640000000000429e-04
2.000000000000000000e+09,-1.793103448275861922e+01,1.000000000000000000e+00,-2.795600000000000407e-04
2.000000000000000000e+09,-1.896551724137930961e+01,1.000000000000000000e+00,-2.658400000000000433e-04
2.000000000000000000e+09,-2.000000000000000000e+01,1.000000000000000000e+00,-2.899040000000000080e-04
2.500000000000000000e+09,1.000000000000000000e+01,1.000000000000000000e+00,5.119843749999999395e-03
2.500000000000000000e+09,8.965517241379313162e+00,1.000000000000000000e+00,1.023968749999999879e-02
2.500000000000000000e+09,7.931034482758622772e+00,1.000000000000000000e+00,2.559921874999998917e-02
2.500000000000000000e+09,6.896551724137932382e+00,1.000000000000000000e+00,5.119843749999997834e-02
2.500000000000000000e+09,5.862068965517241992e+00,1.000000000000000000e+00,4.463751999999999304e-02
2.500000000000000000e+09,4.827586206896555154e+00,1.000000000000000000e+00,3.472888000000000364e-02
2.500000000000000000e+09,3.793103448275864764e+00,1.000000000000000000e+00,2.617231999999999545e-02
2.500000000000000000e+09,2.758620689655174374e+00,1.000000000000000000e+00,1.922463999999999770e-02
2.500000000000000000e+09,1.724137931034483984e+00,1.000000000000000000e+00,1.351012000000000046e-02
2.500000000000000000e+09,6.896551724137935935e-01,1.000000000000000000e+00,8.938320000000001334e-03
2.500000000000000000e+09,-3.448275862068967967e-01,1.000000000000000000e+00,5.586359999999999416e-03
2.500000000000000000e+09,-1.379310344827583634e+00,1.000000000000000000e+00,3.080740000000000648e-03
2.500000000000000000e+09,-2.413793103448274024e+00,1.000000000000000000e+00,1.493880000000000381e-03
2.500000000000000000e+09,-3.448275862068964415e+00,1.000000000000000000e+00,6.365799999999999801e-04
2.500000000000000000e+09,-4.482758620689654805e+00,1.000000000000000000e+00,1.713520000000000494e-04
2.500000000000000000e+09,-5.517241379310343419e+00,1.000000000000000000e+00,-4.496400000000000521e-05
2.500000000000000000e+09,-6.551724137931033809e+00,1.000000000000000000e+00,-1.604640000000000276e-04
2.500000000000000000e+09,-7.586206896551722423e+00,1.000000000000000000e+00,-2.164280000000000088e-04
2.500000000000000000e+09,-8.620689655172412813e+00,1.000000000000000000e+00,-2.278120000000000340e-04
2.500000000000000000e+09,-9.655172413793103203e+00,1.000000000000000000e+00,-2.526240000000000126e-04
2.500000000000000000e+09,-1.068965517241379182e+01,1.000000000000000000e+00,-2.586280000000000588e-04
2.500000000000000000e+09,-1.172413793103448221e+01,1.000000000000000000e+00,-2.795400000000000510e-04
2.500000000000000000e+09,-1.275862068965517082e+01,1.000000000000000000e+00,-2.725480000000000068e-04
2.500000000000000000e+09,-1.379310344827586121e+01,1.000000000000000000e+00,-2.740799999999999508e-04
2.500000000000000000e+09,-1.482758620689655160e+01,1.000000000000000000e+00,-2.836120000000000351e-04
2.500000000000000000e+09,-1.586206896551724199e+01,1.000000000000000000e+00,-2.621400000000000618e-04
2.500000000000000000e+09,-1.689655172413792883e+01,1.000000000000000000e+00,-2.627200000000000325e-04
2.500000000000000000e+09,-1.793103448275861922e+01,1.000000000000000000e+00,-2.649440000000000302e-04
2.500000000000000000e+09,-1.896551724137930961e+01,1.000000000000000000e+00,-2.771079999999999767e-04
2.500000000000000000e+09,-2.000000000000000000e+01,1.000000000000000000e+00,-2.604880000000000715e-04
3.000000000000000000e+09,1.000000000000000000e+01,1.000000000000000000e+00,5.119843749999999395e-03
3.000000000000000000e+09,8.965517241379313162e+00,1.000000000000000000e+00,1.023968749999999879e-02
3.000000000000000000e+09,7.931034482758622772e+00,1.000000000000000000e+00,2.559921874999998917e-02
3.000000000000000000e+09,6.896551724137932382e+00,1.000000000000000000e+00,1.858744000000000021e-02
3.000000000000000000e+09,5.862068965517241992e+00,1.000000000000000000e+00,1.191112000000000073e-02
3.000000000000000000e+09,4.827586206896555154e+00,1.000000000000000000e+00,6.911200000000001023e-03
3.000000000000000000e+09,3.793103448275864764e+00,1.000000000000000000e+00,3.753680000000000124e-03
3.000000000000000000e+09,2.758620689655174374e+00,1.000000000000000000e+00,1.760392000000000163e-03
3.000000000000000000e+09,1.724137931034483984e+00,1.000000000000000000e+00,6.938800000000000176e-04
3.000000000000000000e+09,6.896551724137935935e-01,1.000000000000000000e+00,1.668800000000000014e-04
3.000000000000000000e+09,-3.448275862068967967e-01,1.000000000000000000e+00,-5.128400000000000569e-05
3.000000000000000000e+09,-1.379310344827583634e+00,1.000000000000000000e+00,-1.451320000000000192e-04
3.000000000000000000e+09,-2.413793103448274024e+00,1.000000000000000000e+00,-1.924880000000000449e-04
3.000000000000000000e+09,-3.448275862068964415e+00,1.000000000000000000e+00,-2.264040000000000095e-04
3.000000000000000000e+09,-4.482758620689654805e+00,1.000000000000000000e+00,-2.406999999999999960e-04
3.000000000000000000e+09,-5.517241379310343419e+00,1.000000000000000000e+00,-2.592600000000000893e-04
3.000000000000000000e+09,-6.551724137931033809e+00,1.000000000000000000e+00,-2.529879999999999976e-04
3.000000000000000000e+09,-7.586206896551722423e+00,1.000000000000000000e+00,-2.572080000000000351e-04
3.000000000000000000e+09,-8.620689655172412813e+00,1.000000000000000000e+00,-2.499959999999999964e-04
3.000000000000000000e+09,-9.655172413793103203e+00,1.000000000000000000e+00,-2.700879999999999796e-04
3.000000000000000000e+09,-1.068965517241379182e+01,1.000000000000000000e+00,-2.807560000000000069e-04
3.000000000000000000e+09,-1.172413793103448221e+01,1.000000000000000000e+00,-2.609480000000000501e-04
3.000000000000000000e+09,-1.275862068965517082e+01,1.000000000000000000e+00,-2.863840000000000417e-04
3.000000000000000000e+09,-1.379310344827586121e+01,1.000000000000000000e+00,-2.919120000000000200e-04
3.000000000000000000e+09,-1.482758620689655160e+01,1.000000000000000000e+00,-2.962640000000000217e-04
3.000000000000000000e+09,-1.586206896551724199e+01,1.000000000000000000e+00,-2.787760000000000563e-04
3.000000000000000000e+09,-1.689655172413792883e+01,1.000000000000000000e+00,-2.783279999999999955e-04
3.000000000000000000e+09,-1.793103448275861922e+01,1.000000000000000000e+00,-2.900800000000000145e-04
3.000000000000000000e+09,-1.896551724137930961e+01,1.000000000000000000e+00,-2.940000000000000447e-04
